iranyitoszam;telepules;kozterulet;hazszam
null;Nanggewer;Dayton;82
null;Meliau;3rd;90
7043;Tigbao;Loftsgordon;117
8326;Mainque;Anzinger;141
null;Huancapallac;Spaight;90
9021;Libertad;Cardinal;151
null;Dongxiao;Linden;10
4560-750;Além;Pepper Wood;16
50205;Sámara;Merchant;46
null;Menggala;Sutteridge;67
44000-000;Feira de Santana;Morningstar;56
252 68;Helsingborg;Arkansas;14
353721;Staroderevyankovskaya;Hanover;142
null;Lizhuangzi;South;149
7160-208;Vila Viçosa;Annamark;100
null;Yishui;Shoshone;89
null;Dayan;Swallow;139
5500;Romblon;Mcguire;4
5870;Villa Dolores;Steensland;36
80100;Dera Bugti;Lien;9
null;Illéla;Grover;100
14-520;Pieniężno;Loftsgordon;125
null;Fuxing;Holy Cross;11
4022;Langtad;Lerdahl;4
null;Angelochóri;Caliangt;117
678580;Batagay-Alyta;Graedel;132
62-720;Brudzew;Nancy;66
250618;Guachetá;New Castle;90
null;Jianggu;Golden Leaf;157
17209 CEDEX;Royan;1st;63
24-220;Niedrzwica Duża;Mcguire;28
null;Dzhalilabad;Springview;93
null;Panamá;Longview;18
31110;Kanchanaburi;1st;87
null;Cibuah;Texas;93
null;Sujitan;La Follette;116
null;Ouahigouya;Maple Wood;8
96910-000;Embu Guaçu;Susan;17
null;Marale;Heffernan;36
80501;Sohbatpur;Claremont;109
879-2681;Himi;Center;157
null;Ettal;Marquette;100
45980-000;Prado;Kenwood;106
null;Banjar Dauhpura;Cardinal;43
37072 CEDEX 2;Tours;Waubesa;141
B4V;Bridgewater;Hanson;12
252827;Guataquí;Oak Valley;2
null;Suqu;John Wall;4
91029 CEDEX;Évry;Esker;98
32-060;Rączna;Calypso;20
1682;Lumbangan;Mifflin;132
6821;General Luna;Forest Run;29
null;Ugbokpo;Mifflin;78
null;Changle;Monica;114
9011;Caleta Olivia;Logan;150
172;Seltjarnarnes;Northridge;137
9135-054;Camacha;Ronald Regan;111
null;Ágios Týchon;Iowa;135
null;Vishow;Corry;35
null;Petiga;Hollow Ridge;39
78-450;Grzmiąca;Pepper Wood;14
null;Qingduizi;Fairfield;93
6004;Kecskemét;Nelson;120
2956;Satovcha;Hollow Ridge;105
null;Gunungmanik;Sherman;110
G6R;Warwick;Macpherson;154
45545-000;Ubaitaba;Bay;91
null;Fazhan;Lien;132
182647;Tver;Mosinee;148
null;Tây Ninh;Autumn Leaf;150
null;Pueblo Nuevo;Stone Corner;146
null;Xiangtan;Fisk;56
59570-000;Ceará Mirim;Bellgrove;44
3309;Ramos West;Toban;103
null;Hegarmulya;Mcguire;135
null;Shuangxi;Northwestern;36
44966 CEDEX 9;Nantes;Glacier Hill;79
056457;Hispania;Towne;35
501007;Barranca de Upía;Lakewood Gardens;82
8604;Magallanes;Kipling;40
53405;Racine;Continental;72
null;Yun’an;Washington;21
null;Ágio Pnévma;Prairieview;34
941 65;Piteå;Hoard;11
14201;Turenki;Sycamore;65
null;Netanya;Cottonwood;136
null;Kute;Oak Valley;59
06905 CEDEX;Sophia Antipolis;Muir;9
9100-153;Santa Cruz;Brentwood;100
987-0058;Shiogama;Kings;81
42897;Remscheid;Park Meadow;124
T4X;Beaumont;Cascade;74
null;Jiangpan;Harper;84
186 31;Vallentuna;Donald;105
null;Al Tuḩaytā’;Veith;135
null;Banjar Anyar;Shasta;87
14260;Miguel Hidalgo;Russell;34
09430;Saukkola;Pepper Wood;15
null;Fílla;Claremont;15
303759;Kolpny;Northfield;103
null;Jianyangping;Calypso;6
null;Paseh;Weeping Birch;90
141901;Taldom;Vahlen;104
22501;Haveliān;Graceland;133
null;Xindong;Sunnyside;160
null;Zhangfeng;Prairie Rose;9
null;Shuangjie;Melvin;5
2310;Culubasa;Ilene;100
null;Glondong;Talmadge;45
10130;Phra Pradaeng;Myrtle;47
null;Qingshui;Longview;131
null;Balakasap;Toban;114
null;Liberta;Leroy;121
null;Sukamenak;Vermont;68
null;Ngondokandawu;Alpine;59
null;Lenger;Village Green;76
null;Ḩabābah;Northridge;47
649154;Artybash;Sundown;89
86110;Lang Suan;Hollow Ridge;92
null;Potoni;Mcbride;30
null;Chuantang;Cardinal;17
26120;Nakhon Nayok;Lakewood;7
null;Kolsh;Oriole;79
null;Yamethin;Anderson;14
null;Sancang;Lyons;84
658972;Bastan;American Ash;64
null;Gunungkoneng;Elmside;119
null;Dongming Chengguanzhen;Moose;78
43-503;Goczałkowice Zdrój;Fisk;62
7504;Gradec;Oriole;94
30453;Hannover;Petterle;122
null;Maikawada;Jackson;21
41015 CEDEX;Blois;Bayside;75
431373;Novyy;Monica;24
null;Katima Mulilo;Londonderry;57
69750-000;São Gabriel da Cachoeira;Gale;110
F31;Swinford;East;130
58701;Sulkava;Colorado;119
null;Santa Elena;Kipling;104
null;Ebene;4th;74
17-210;Narew;Grasskamp;100
null;Sanshilipu;Crownhardt;1
142143;Il’inskiy;Hermina;33
368758;Usukhchay;Crowley;38
38300-000;Ituiutaba;Loeprich;56
5309;Damawato;Luster;6
29390-000;Iúna;Surrey;143
31998;Columbus;Doe Crossing;74
null;Soroti;Fuller;12
6012;Nailong;Sycamore;75
null;Pucheng;Stephen;143
null;Bác Ái;Wayridge;55
null;Shishang;Anderson;14
null;Beroroha;Melvin;11
null;Shuikou;Karstens;119
null;Shicha;Hallows;121
6330;New Agutaya;Main;134
null;Masallātah;Glendale;16
null;Markópoulo;Sundown;15
13-230;Lidzbark;Express;68
null;Jajarkrajan;Scoville;79
30302;San Diego;Bobwhite;156
null;Gonghe;Bunting;113
null;Shādegān;Amoth;21
